canonical,^8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2,,^5.1|5.0,,^3.0,
ballot_house,,,,,17,3. BALLOT COMP HSE   BLANK OR 1,17,3. BALLOT COMP HSE   BLANK OR 1
subtotal_federal,,,,,18,4. SUBTOTAL FED,18,4. SUBTOTAL FED
ballot_governor,,,,,19,5. BALLOT COMP GOV  BLANK OR 1,19,5. BALLOT COMP GOV  BLANK OR 1
ballot_other_statewide,,,,,20,6. OTHER STATEWIDE,20,6. OTHER STATEWIDE
ballot_state_senate,,,,,21,7. STATE SENATE,21,7. STATE SENATE
ballot_state_representative,,,,,22,8. STATE REP.,22,8. STATE REP.
ballot_local_candidates,,,,,23,"9. LOCAL CANDIDATES  BLANK, 1 OR 2",23,"9. LOCAL CANDIDATES  BLANK, 1 OR 2"
extra_nonfederal_point,,,,,24,10. EXTRA NON-FED POINT  BLANK OR 1,24,10. EXTRA NON-FED POINT  BLANK OR 1
subtotal,,,,,25,11. SUBTOTAL,25,11. SUBTOTAL
total_points,,,,,26,12. TOTAL POINTS,26,12. TOTAL POINTS
