canonical,^8.1|8.0|7.0|6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3,,,,
col_a_federal_election_activity_levin_share,63,30(a)ii Shared Federal Activity (H6) Non-Fed,111,30(a)ii Shared Federal Activity (H6) Non-Fed,,,,,
col_a_federal_election_activity_all_federal,64,30(b) Non-Allocable 100% Fed Election Activity,112,30(b) Non-Allocable 100% Fed Election Activity,,,,,
col_a_federal_election_activity_total,65,30(c) Total Federal Election Activity,113,30(c) Total Federal Election Activity,,,,,
col_a_total_disbursements,66,31. Total Disbursements,54,31. Total Disbursements,54,30. Total Disbursements,,,
col_a_total_federal_disbursements,67,32. Total Federal Disbursements,55,32. Total Federal Disbursements,55,31. Total Federal Disbursements,,,
col_a_total_contributions,68,33. Total Contributions,56,33. Total Contributions,56,32. Total Contributions,,,
col_a_total_contributions_refunds,69,34. Total Contribution Refunds,57,34. Total Contribution Refunds,57,33. Total Contribution Refunds,,,
col_a_net_contributions,70,35. Net Contributions,58,35. Net Contributions,58,34. Net Contributions,,,
col_a_total_federal_operating_expenditures,71,36. Total Federal Operating Expenditures,59,36. Total Federal Operating Expenditures,59,35. Total Federal Operating Expenditures,,,
col_a_total_offsets_to_expenditures,72,37. Offsets to Operating Expenditures,60,37. Offsets to Operating Expenditures,60,36. Offsets to Operating Expenditures,,,
col_a_net_operating_expenditures,73,38. Net Operating Expenditures,61,38. Net Operating Expenditures,61,37. Net Operating Expenditures,,,
col_b_cash_on_hand_jan_1,74, 6(a) Cash on Hand Jan 1,19,62, 6(a) Cash on Hand Jan 1,19,62, 6(a) Cash on Hand Jan 1,19
col_b_year,75,Year for Above,63,Year for Above,63,Year for Above,,,
col_b_total_receipts,76,6(c) Total Receipts,64,6(c) Total Receipts,64,6(c) Total Receipts,,,
col_b_subtotal,77,6(d) Subtotal,65,6(d) Subtotal,65,6(d) Subtotal,,,
col_b_total_disbursements,78,7. Total disbursements,66,7. Total disbursements,66,7. Total disbursements,,,
col_b_cash_on_hand_close_of_period,79,8. Cash on Hand Close,67,8. Cash on Hand Close,67,8. Cash on Hand Close,,,
col_b_individuals_itemized,80,11(a)i  Itemized,68,11(a)i Itemized,68,11(a)i Itemized,,,
col_b_individuals_unitemized,81,11(a)ii  Unitemized,69,11(a)ii Unitemized,69,11(a)ii Unitemized,,,
col_b_individual_contribution_total,82,11(a)iii Total,70,11(a)iii Total,70,11(a)iii Total,,,
col_b_political_party_committees,83,11(b) Political Party committees,71,11(b) Political Party committees,71,11(b) Political Party committees,,,
col_b_other_political_committees_pacs,84,11(c) Other Political Committees  (PACs),72,11(c) Other Political Committees  (PACs),72,11(c) Other Political Committees  (PACs),,,
col_b_total_contributions,85,11(d) Total Contributions,73,11(d) Total Contributions,73,11(d) Total Contributions,,,
col_b_transfers_from_aff_other_party_cmttees,86,12. Transfers from Affiliated/Other Party Cmtes,74,12. Transfers from Affiliated/Other Party Cmtes,74,12. Transfers from Affiliated/Other Party Cmtes,,,
col_b_total_loans,87,13. All Loans Received,75,13. All Loans Received,75,13. All Loans Received,,,
col_b_total_loan_repayments_received,88,14. Loan Repayments Received,76,14. Loan Repayments Received,76,14. Loan Repayments Received,,,
col_b_offsets_to_expenditures,89,15. Offsets to Operating Expenditures (refunds),77,15. Offsets to Operating Expenditures (refunds),77,15. Offsets to Operating Expenditures (refunds),,,
col_b_total_contributions_refunds,90,16. Refunds of Federal Contributions,78,16. Refunds of Federal Contributions,78,16. Refunds of Federal Contributions,,,
col_b_other_federal_receipts,91,17. Other Federal Receipts (dividends),79,17. Other Federal Receipts (dividends),79,17. Other Federal Receipts (dividends),,,
col_b_transfers_from_nonfederal_h3,92,18(a) Transfers from Nonfederal Account (H3),80,18(a) Transfers from Nonfederal Account (H3),80,18(a) Transfers from Nonfederal Account (H3),,,
col_b_levin_funds,93,18(b) Transfers from Non-Federal (Levin - H5),114,18(b) Transfers from Non-Federal (Levin - H5),,,,,
col_b_total_nonfederal_transfers,94,18(c) Total Non-Federal Transfers (18a+18b),115,18(c) Total Non-Federal Transfers (18a+18b),,,,,
col_b_total_receipts,95,19. Total Receipts,81,19. Total Receipts,81,19. Total Receipts,,,
col_b_total_federal_receipts,96,20. Total Federal Receipts,82,20. Total Federal Receipts,82,20. Total Federal Receipts,,,
col_b_shared_operating_expenditures_federal,97,21(a)i Federal Share,83,21(a)i Federal Share,83,21(a)i Federal Share,,,
col_b_shared_operating_expenditures_nonfederal,98,21(a)ii Non-Federal Share,84,21(a)ii Non-Federal Share,84,21(a)ii Non-Federal Share,,,
col_b_other_federal_operating_expenditures,99,21(b) Other Federal Operating Expenditures,85,21(b) Other Federal Operating Expenditures,85,21(b) Other Federal Operating Expenditures,,,
col_b_total_operating_expenditures,100,21(c) Total operating Expenditures,86,21(c) Total operating Expenditures,86,21(c) Total operating Expenditures,,,
col_b_transfers_to_affiliated,101,22. Transfers to Affiliated/Other Party Cmtes,87,22. Transfers to Affiliated/Other Party Cmtes,87,22. Transfers to Affiliated/Other Party Cmtes,,,
col_b_contributions_to_candidates,102,23. Contributions to Federal Candidates/Cmtes,88,23. Contributions to Federal Candidates/Cmtes,88,23. Contributions to Federal Candidates/Cmtes,,,
col_b_independent_expenditures,103,24. Independent Expenditures,89,24. Independent Expenditures,89,24. Independent Expenditures,,,
col_b_coordinated_expenditures_by_party_committees,104,25. Coordinated Expend made by Party Cmtes,90,25. Coordinated Expend made by Party Cmtes,90,25. Coordinated Expend made by Party Cmtes,,,
col_b_total_loan_repayments_made,105,26. Loan Repayments Made,91,26. Loan Repayments Made,91,26. Loan Repayments Made,,,
col_b_loans_made,106,27. Loans Made,92,27. Loans Made,92,27. Loans Made,,,
col_b_refunds_to_individuals,107,28(a) Individuals/Persons,93,28(a) Individuals/Persons,93,28(a) Individuals/Persons,,,
col_b_refunds_to_party_committees,108,28(b) Political Party Committees,94,28(b) Political Party Committees,94,28(b) Political Party Committees,,,
col_b_refunds_to_other_committees,109,28(c) Other Political  Committees,95,28(c) Other Political  Committees,95,28(c) Other Political  Committees,,,
col_b_total_refunds,110,28(d) Total contributions Refunds,96,28(d) Total contributions Refunds,96,28(d) Total contributions Refunds,,,
col_b_other_disbursements,111,29. Other Disbursements,97,29. Other Disbursements,97,29. Other Disbursements,,,
col_b_federal_election_activity_federal_share,112,30(a)i  Shared Federal Activity (H6) Fed Share,116,30(a)i  Shared Federal Activity (H6) Fed Share,,,,,
col_b_federal_election_activity_levin_share,113,30(a)ii Shared Federal Activity (H6) Non-Fed,117,30(a)ii Shared Federal Activity (H6) Non-Fed,,,,,
col_b_federal_election_activity_all_federal,114,30(b) Non-Allocable 100% Fed Election Activity,118,30(b) Non-Allocable 100% Fed Election Activity,,,,,
col_b_federal_election_activity_total,115,30(c) Total Federal Election Activity,119,30(c) Total Federal Election Activity,,,,,
col_b_total_disbursements,116,31. Total Disbursements,98,31. Total Disbursements,98,30. Total Disbursements,,,
col_b_total_federal_disbursements,117,32. Total Federal Disbursements,99,32. Total Federal Disbursements,99,31. Total Federal Disbursements,,,
col_b_total_contributions,118,33. Total Contributions,100,33. Total Contributions,100,32. Total Contributions,,,
col_b_total_contributions_refunds,119,34. Total Contribution Refunds,101,34. Total Contribution Refunds,101,33. Total Contribution Refunds,,,
col_b_net_contributions,120,35. Net contributions,102,35. Net contributions,102,34. Net contributions,,,
col_b_total_federal_operating_expenditures,121,36. Total Federal Operating Expenditures,103,36. Total Federal Operating Expenditures,103,35. Total Federal Operating Expenditures,,,
col_b_total_offsets_to_expenditures,122,37. Offsets to Operating Expenditures,104,37. Offsets to Operating Expenditures,104,36. Offsets to Operating Expenditures,,,
col_b_net_operating_expenditures,123,38. Net Operating Expenditures,105,38. Net Operating Expenditures,105,37. Net Operating Expenditures,,,
