canonical,^8.0|7.0|6.4,,^6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3.0,
col_b_individual_contributions_unitemized,70,11(a.ii) Individuals Unitemized,77,11(a.ii) Individuals Unitemized,68,11(a.ii) Individuals Unitemized,68,11(a.ii) Individuals Unitemized
col_b_total_individual_contributions,71,11(a.iii) Individuals Total,78,11(a.iii) Individuals Total,69,11(a.iii) Individuals Total,69,11(a.iii) Individuals Total
col_b_political_party_contributions,72,11(b) Political Party Committees,79,11(b) Political Party Committees,70,11(b) Political Party Committees,70,11(b) Political Party Committees
col_b_pac_contributions,73,11(c) All Other Political Committees (PACS),80,11(c) All Other Political Committees (PACS),71,11(c) All Other Political Committees (PACS),71,11(c) All Other Political Committees (PACS)
col_b_candidate_contributions,74,11(d) The Candidate,81,11(d) The Candidate,72,11(d) The Candidate,72,11(d) The Candidate
col_b_total_contributions,75,11(e) Total Contributions,82,11(e) Total Contributions,73,11(e) Total Contributions,73,11(e) Total Contributions
col_b_transfers_from_authorized,76,12. Transfers From Other AUTH Committees,83,12. Transfers From Other AUTH Committees,74,12. Transfers From Other AUTH Committees,74,12. Transfers From Other AUTH Committees
col_b_candidate_loans,77,13(a) Loans made or guarn. by the Candidate,84,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate,75,13(a) Loans made or guarn. by the Candidate
col_b_other_loans,78,13(b) All Other Loans,85,13(b) All Other Loans,76,13(b) All Other Loans,76,13(b) All Other Loans
col_b_total_loans,79,13(c) Total Loans,86,13(c) Total Loans,77,13(c) Total Loans,77,13(c) Total Loans
col_b_offset_to_operating_expenditures,80,14. Offsets to Operating Expenditures,87,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures,78,14. Offsets to Operating Expenditures
col_b_other_receipts,81,15. Other Receipts,88,15. Other Receipts,79,15. Other Receipts,79,15. Other Receipts
col_b_total_receipts,82,16. Total Receipts,89,16. Total Receipts,80,16. Total Receipts,80,16. Total Receipts
col_b_operating_expenditures,83,17 Operating Expenditures,90,17 Operating Expenditures,81,17 Operating Expenditures,81,17 Operating Expenditures
col_b_transfers_to_authorized,84,18. Transfers To Other AUTH Committees,91,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees,82,18. Transfers To Other AUTH Committees
col_b_candidate_loan_repayments,85,19(a) Loan Repayment By Candidate,92,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate,83,19(a) Loan Repayment By Candidate
col_b_other_loan_repayments,86,"19(b) Loan Repayments,  ALL Other Loans",93,"19(b) Loan Repayments,  ALL Other Loans",84,"19(b) Loan Repayments,  ALL Other Loans",84,"19(b) Loan Repayments,  ALL Other Loans"
col_b_total_loan_repayments,87,19(c) Total Loan Repayments,94,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments,85,19(c) Total Loan Repayments
col_b_refunds_to_individuals,88,20(a) Refund/Individuals Other than Pol. Cmtes,95,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes,86,20(a) Refund/Individuals Other than Pol. Cmtes
col_b_refunds_to_party_committees,89,"20(b) Refund, Political Party Committees",96,"20(b) Refund, Political Party Committees",87,"20(b) Refund, Political Party Committees",87,"20(b) Refund, Political Party Committees"
col_b_refunds_to_other_committees,90,"20(c) Refund, Other Political Committees",97,"20(c) Refund, Other Political Committees",88,"20(c) Refund, Other Political Committees",88,"20(c) Refund, Other Political Committees"
col_b_total_refunds,91,20(d) Total Contributions Refunds,98,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds,89,20(d) Total Contributions Refunds
col_b_other_disbursements,92,21. Other Disbursements,99,21. Other Disbursements,90,21. Other Disbursements,90,21. Other Disbursements
col_b_total_disbursements,93,22. Total Disbursements,100,22. Total Disbursements,91,22. Total Disbursements,91,22. Total Disbursements
col_b_gross_receipts_authorized_primary,,,101,Gross Receipts of Authorized Committees (primary),97,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (PRIMARY),,
col_b_aggregate_personal_funds_primary,,,102,Aggregate Amount from Personal Funds (primary),98,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (PRIMARY),,
col_b_gross_receipts_minus_personal_funds_primary,,,103,Gross Receipts Minus Personal from Candidate (primary),99,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (PRIMARY),,
col_b_gross_receipts_authorized_general,,,104,Gross Receipts of Authorized Committees (general),100,1. GROSS RECEIPTS OF AUTHORIZED COMMITTEES  (GENERAL),,
col_b_aggregate_personal_funds_general,,,105,Aggregate Amount from Personal Funds (general),101,2. AGGREGATE AMT OF CONTRIBUTIONS FROM PERSONAL FUNDS  (GENERAL),,
col_b_gross_receipts_minus_personal_funds_general,,,106,Gross Receipts Minus Personal from Candidate (general),102,3. GROSS RECEIPTS - MINUS PERSONAL CONTRIBUTIONS FROM CANDIDATE  (GENERAL),,
