canonical,^8.0|7.0,,^6.4|6.3|6.2|6.1,,^5.3|5.2|5.1|5.0|3,
florida,47,FLORIDA,45,FLORIDA,43,FLORIDA
georgia,48,GEORGIA,46,GEORGIA,44,GEORGIA
hawaii,49,HAWAII,47,HAWAII,45,HAWAII
idaho,50,IDAHO,48,IDAHO,46,IDAHO
illinois,51,ILLINOIS,49,ILLINOIS,47,ILLINOIS
indiana,52,INDIANA,50,INDIANA,48,INDIANA
iowa,53,IOWA,51,IOWA,49,IOWA
kansas,54,KANSAS,52,KANSAS,50,KANSAS
kentucky,55,KENTUCKY,53,KENTUCKY,51,KENTUCKY
louisiana,56,LOUISIANA,54,LOUISIANA,52,LOUISIANA
maine,57,MAINE,55,MAINE,53,MAINE
maryland,58,MARYLAND,56,MARYLAND,54,MARYLAND
massachusetts,59,MASSACHUSETTS,57,MASSACHUSETTS,55,MASSACHUSETTS
michigan,60,MICHIGAN,58,MICHIGAN,56,MICHIGAN
minnesota,61,MINNESOTA,59,MINNESOTA,57,MINNESOTA
mississippi,62,MISSISSIPPI,60,MISSISSIPPI,58,MISSISSIPPI
missouri,63,MISSOURI,61,MISSOURI,59,MISSOURI
montana,64,MONTANA,62,MONTANA,60,MONTANA
nebraska,65,NEBRASKA,63,NEBRASKA,61,NEBRASKA
nevada,66,NEVADA,64,NEVADA,62,NEVADA
new_hampshire,67,NEW HAMPSHIRE,65,NEW HAMPSHIRE,63,NEW HAMPSHIRE
new_jersey,68,NEW JERSEY,66,NEW JERSEY,64,NEW JERSEY
new_mexico,69,NEW MEXICO,67,NEW MEXICO,65,NEW MEXICO
new_york,70,NEW YORK,68,NEW YORK,66,NEW YORK
north_carolina,71,NORTH CAROLINA,69,NORTH CAROLINA,67,NORTH CAROLINA
north_dakota,72,NORTH DAKOTA,70,NORTH DAKOTA,68,NORTH DAKOTA
ohio,73,OHIO,71,OHIO,69,OHIO
oklahoma,74,OKLAHOMA,72,OKLAHOMA,70,OKLAHOMA
oregon,75,OREGON,73,OREGON,71,OREGON
pennsylvania,76,PENNSYLVANIA,74,PENNSYLVANIA,72,PENNSYLVANIA
rhode_island,77,RHODE ISLAND,75,RHODE ISLAND,73,RHODE ISLAND
south_carolina,78,SOUTH CAROLINA,76,SOUTH CAROLINA,74,SOUTH CAROLINA
south_dakota,79,SOUTH DAKOTA,77,SOUTH DAKOTA,75,SOUTH DAKOTA
tennessee,80,TENNESSEE,78,TENNESSEE,76,TENNESSEE
texas,81,TEXAS,79,TEXAS,77,TEXAS
utah,82,UTAH,80,UTAH,78,UTAH
vermont,83,VERMONT,81,VERMONT,79,VERMONT
virginia,84,VIRGINIA,82,VIRGINIA,80,VIRGINIA
washington,85,WASHINGTON,83,WASHINGTON,81,WASHINGTON
west_virginia,86,WEST VIRGINIA,84,WEST VIRGINIA,82,WEST VIRGINIA
wisconsin,87,WISCONSIN,85,WISCONSIN,83,WISCONSIN
wyoming,88,WYOMING,86,WYOMING,84,WYOMING
puerto_rico,89,PUERTO RICO,87,PUERTO RICO,85,PUERTO RICO
guam,90,GUAM,88,GUAM,86,GUAM
virgin_islands,91,VIRGIN ISLANDS,89,VIRGIN ISLANDS,87,VIRGIN ISLANDS
totals,92,TOTALS,90,TOTALS,88,TOTALS
