canonical,^8.0|7.0|6.4,,^6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3.0,
affiliated_committee_name,39,6. AFFILIATED CMTTE NAME,39,6. AFFILIATED CMTTE NAME,21,6. COMMITTEE NAME (Affiliated),21,6. COMMITTEE NAME (Affiliated)
affiliated_candidate_id_number,40,6. AFFILIATED CANDIDATE ID NUM,40,6. AFFILIATED CANDIDATE ID NUM,,,,
affiliated_last_name,41,6. AFFILIATED LAST NAME,41,6. AFFILIATED LAST NAME,,,,
affiliated_first_name,42,6. AFFILIATED FIRST NAME,42,6. AFFILIATED FIRST NAME,,,,
affiliated_middle_name,43,6. AFFILIATED MIDDLE NAME,43,6. AFFILIATED MIDDLE NAME,,,,
affiliated_prefix,44,6. AFFILIATED PREFIX,44,6. AFFILIATED PREFIX,,,,
affiliated_suffix,45,6. AFFILIATED SUFFIX,45,6. AFFILIATED SUFFIX,,,,
affiliated_street_1,46,6. AFFILIATED STREET 1,46,6. AFFILIATED STREET 1,22,6. STREET 1,22,6. STREET 1
affiliated_street_2,47,6. AFFILIATED STREET 2,47,6. AFFILIATED STREET 2,23,6. STREET 2,23,6. STREET 2
affiliated_city,48,6. AFFILIATED CITY,48,6. AFFILIATED CITY,24,6. CITY,24,6. CITY
affiliated_state,49,6. AFFILIATED STATE,49,6. AFFILIATED STATE,25,6. STATE,25,6. STATE
affiliated_zip,50,6. AFFILIATED ZIP,50,6. AFFILIATED ZIP,26,6. ZIP,26,6. ZIP
affiliated_relationship_code,51,"6. AFFILIATED RELATIONSHIP CODE",51,6. AFFILIATED RELATIONSHIP CODE,27,6. RELATIONSHIP (w/ Above Cmte),27,6. RELATIONSHIP (w/ Above Cmte)
custodian_name,,,,,29,7. IND/NAME  (Custodian Name),29,7. IND/NAME  (Custodian Name)
custodian_last_name,52,7. CUSTODIAN LAST NAME,52,7. CUSTODIAN LAST NAME,,,,
custodian_first_name,53,7. CUSTODIAN FIRST NAME,53,7. CUSTODIAN FIRST NAME,,,,
custodian_middle_name,54,7. CUSTODIAN MIDDLE NAME,54,7. CUSTODIAN MIDDLE NAME,,,,
custodian_prefix,55,7. CUSTODIAN PREFIX,55,7. CUSTODIAN PREFIX,,,,
custodian_suffix,56,7. CUSTODIAN SUFFIX,56,7. CUSTODIAN SUFFIX,,,,
custodian_street_1,57,7. CUSTODIAN STREET 1,57,7. CUSTODIAN STREET 1,30,7. STREET 1,30,7. STREET 1
custodian_street_2,58,7. CUSTODIAN STREET 2,58,7. CUSTODIAN STREET 2,31,7. STREET 2,31,7. STREET 2
custodian_city,59,7. CUSTODIAN CITY,59,7. CUSTODIAN CITY,32,7. CITY,32,7. CITY
custodian_state,60,7. CUSTODIAN STATE,60,7. CUSTODIAN STATE,33,7. STATE,33,7. STATE
custodian_zip,61,7. CUSTODIAN ZIP,61,7. CUSTODIAN ZIP,34,7. ZIP,34,7. ZIP
custodian_title,62,7. CUSTODIAN TITLE,62,7. CUSTODIAN TITLE,35,7. TITLE,35,7. TITLE
custodian_telephone,63,7. CUSTODIAN TELEPHONE,63,7. CUSTODIAN TELEPHONE,36,7. TELEPHONE,36,7. TELEPHONE
treasurer_name,,,,,37,8. IND/NAME  (Treasurer),37,8. IND/NAME  (Treasurer)
treasurer_last_name,64,8. TREASURER LAST NAME,64,8. TREASURER LAST NAME,,,,
treasurer_first_name,65,8. TREASURER FIRST NAME,65,8. TREASURER FIRST NAME,,,,
treasurer_middle_name,66,8. TREASURER MIDDLE NAME,66,8. TREASURER MIDDLE NAME,,,,
treasurer_prefix,67,8. TREASURER PREFIX,67,8. TREASURER PREFIX,,,,
treasurer_suffix,68,8. TREASURER SUFFIX,68,8. TREASURER SUFFIX,,,,
treasurer_street_1,69,8. TREASURER STREET 1,69,8. TREASURER STREET 1,38,8. STREET 1,38,8. STREET 1
treasurer_street_2,70,8. TREASURER STREET 2,70,8. TREASURER STREET 2,39,8. STREET 2,39,8. STREET 2
treasurer_city,71,8. TREASURER CITY,71,8. TREASURER CITY,40,8. CITY,40,8. CITY
treasurer_state,72,8. TREASURER STATE,72,8. TREASURER STATE,41,8. STATE,41,8. STATE
treasurer_zip,73,8. TREASURER ZIP,73,8. TREASURER ZIP,42,8. ZIP,42,8. ZIP
treasurer_title,74,8. TREASURER TITLE,74,8. TREASURER TITLE,43,8. TITLE,43,8. TITLE
treasurer_telephone,75,8. TREASURER TELEPHONE,75,8. TREASURER TELEPHONE,44,8. TELEPHONE,44,8. TELEPHONE
agent_name,,,,,45,8. IND/NAME  (Designated Agent),45,8. IND/NAME  (Designated Agent)
agent_last_name,76,8. AGENT LAST NAME,76,8. AGENT LAST NAME,,,,
agent_first_name,77,8. AGENT FIRST NAME,77,8. AGENT FIRST NAME,,,,
agent_middle_name,78,8. AGENT MIDDLE NAME,78,8. AGENT MIDDLE NAME,,,,
agent_prefix,79,8. AGENT PREFIX,79,8. AGENT PREFIX,,,,
agent_suffix,80,8. AGENT SUFFIX,80,8. AGENT SUFFIX,,,,
agent_street_1,81,8. AGENT STREET 1,81,8. AGENT STREET 1,46,8. STREET 1,46,8. STREET 1
agent_street_2,82,8. AGENT STREET 2,82,8. AGENT STREET 2,47,8. STREET 2,47,8. STREET 2
agent_city,83,8. AGENT CITY,83,8. AGENT CITY,48,8. CITY,48,8. CITY
agent_state,84,8. AGENT STATE,84,8. AGENT STATE,49,8. STATE,49,8. STATE
agent_zip,85,8. AGENT ZIP,85,8. AGENT ZIP,50,8. ZIP,50,8. ZIP
agent_title,86,8. AGENT TITLE,86,8. AGENT TITLE,51,8. TITLE,51,8. TITLE
agent_telephone,87,8. AGENT TELEPHONE,87,8. AGENT TELEPHONE,52,8. TELEPHONE,52,8. TELEPHONE
bank_name,88,9. a) BANK NAME,88,9. a) BANK NAME,53,9. IND/NAME  (Bank/Depository),53,9. IND/NAME  (Bank/Depository)
bank_street_1,89,9. a) BANK STREET 1,89,9. a) BANK STREET 1,54,9. STREET 1,54,9. STREET 1
bank_street_2,90,9. a) BANK STREET 2,90,9. a) BANK STREET 2,55,9. STREET 2,55,9. STREET 2
bank_city,91,9. a) BANK CITY,91,9. a) BANK CITY,56,9. CITY,56,9. CITY
bank_state,92,9. a) BANK STATE,92,9. a) BANK STATE,57,9. STATE,57,9. STATE
bank_zip,93,9. a) BANK ZIP,93,9. a) BANK ZIP,58,9. ZIP,58,9. ZIP
bank2_name,94,9. b) BANK NAME,94,9. b) BANK NAME,,,,
bank2_street_1,95,9. b) BANK STREET 1,95,9. b) BANK STREET 1,,,,
bank2_street_2,96,9. b) BANK STREET 2,96,9. b) BANK STREET 2,,,,
bank2_city,97,9. b) BANK CITY,97,9. b) BANK CITY,,,,
bank2_state,98,9. b) BANK STATE,98,9. b) BANK STATE,,,,
bank2_zip,99,9. b) BANK ZIP,99,9. b) BANK ZIP,,,,
